"";"properties_skz";"lat";"long";"school_adress";"properties_bezeichnung";"properties_erhalter";"elevation";"tooltip"
"1";923081;48,136578;16,2750211;"Korbgasse 1, 1230 Wien";"Volksschule";"öffentl.";0,274193548387097;"27% - 

 - Volksschule - Korbgasse 1, 1230 Wien - 

 - öffentl."
"2";923101;48,1360686;16,2597188;"Fürst Liechtenstein-Straße 17, 1230 Wien";"Volksschule";"öffentl.";0,1875;"19% - 

 - Volksschule - Fürst Liechtenstein-Straße 17, 1230 Wien - 

 - öffentl."
"3";923011;48,1476943;16,2946485;"Kirchenplatz 2-3, 1230 Wien";"Volksschule";"öffentl.";0,2625;"26% - 

 - Volksschule - Kirchenplatz 2-3, 1230 Wien - 

 - öffentl."
"4";923161;48,1289213;16,3146712;"Akaziengasse 52-54, 1230 Wien";"Volksschule";"öffentl.";0,289156626506024;"29% - 

 - Volksschule - Akaziengasse 52-54, 1230 Wien - 

 - öffentl."
"5";923201;48,1481636;16,3120419;"Alma-Seidler-Weg 2, 1230 Wien";"Volksschule";"öffentl.";0,341176470588235;"34% - 

 - Volksschule - Alma-Seidler-Weg 2, 1230 Wien - 

 - öffentl."
"6";923181;48,151477;16,314464;"Anton Baumgartner-Straße 44/II, 1230 Wien";"Volksschule II";"öffentl.";0,605263157894737;"61% - 

 - Volksschule II - Anton Baumgartner-Straße 44/II, 1230 Wien - 

 - öffentl."
"7";923061;48,1424935;16,3122243;"Erlaaer Straße 74, 1230 Wien";"Volksschule";"öffentl.";0,510869565217391;"51% - 

 - Volksschule - Erlaaer Straße 74, 1230 Wien - 

 - öffentl."
"8";923041;48,1526774;16,3155096;"Anton Baumgartner-Straße 44/I, 1230 Wien";"Volksschule I";"öffentl.";0,593023255813954;"59% - 

 - Volksschule I - Anton Baumgartner-Straße 44/I, 1230 Wien - 

 - öffentl."
"9";923031;48,1446982;16,2840634;"Prückelmayrgasse 6, 1230 Wien";"Volksschule II";"öffentl.";0,19811320754717;"20% - 

 - Volksschule II - Prückelmayrgasse 6, 1230 Wien - 

 - öffentl."
"10";923071;48,149806;16,3476315;"Draschestraße 96, 1230 Wien";"Volksschule";"öffentl.";0,415094339622642;"42% - 

 - Volksschule - Draschestraße 96, 1230 Wien - 

 - öffentl."
"11";923051;48,1504058;16,3186675;"Anton Baumgartner-Straße 119, 1230 Wien";"Volksschule";"öffentl.";0,276785714285714;"28% - 

 - Volksschule - Anton Baumgartner-Straße 119, 1230 Wien - 

 - öffentl."
"12";923151;48,1522597;16,2675469;"Bendagasse 1-2, 1230 Wien";"Volksschule";"öffentl.";0,51006711409396;"51% - 

 - Volksschule - Bendagasse 1-2, 1230 Wien - 

 - öffentl."
"13";923241;48,1478691;16,2805479;"Endresstraße 59 C, 1230 Wien";"Priv. Volksschule Tankstelle- d.Schule d.Vereins Verein z.Betrieb d.kath.Privatsch. m.ökum.Schwerp.Tankst.d.Schule";"privat";NA;"NA - 

 - Priv. Volksschule Tankstelle- d.Schule d.Vereins Verein z.Betrieb d.kath.Privatsch. m.ökum.Schwerp.Tankst.d.Schule - Endresstraße 59 C, 1230 Wien - 

 - privat"
"14";923191;48,1344841;16,2457424;"Promenadeweg 3, 1230 Wien";"Volksschule Kollegium Kalksburg der Vereinigung von Ordensschulen Österreichs";"privat";0,852459016393443;"85% - 

 - Volksschule Kollegium Kalksburg der Vereinigung von Ordensschulen Österreichs - Promenadeweg 3, 1230 Wien - 

 - privat"
"15";923121;48,131631;16,2551461;"Willergasse 55, 1230 Wien";"Private Volksschule des Schulvereines Institut Sancta Christiana";"privat";0,523809523809524;"52% - 

 - Private Volksschule des Schulvereines Institut Sancta Christiana - Willergasse 55, 1230 Wien - 

 - privat"
"16";923131;48,156409;16,2644965;"Franz Asenbauer-Gasse 49, 1230 Wien";"Volksschule St. Ursula Wien";"privat";NA;"NA - 

 - Volksschule St. Ursula Wien - Franz Asenbauer-Gasse 49, 1230 Wien - 

 - privat"
"17";923171;48,1481861;16,2611417;"Maurer Lange-Gasse 115, 1230 Wien";"Private Volksschule der Schulstiftung der Erzdiözese Wien";"privat";0,773809523809524;"77% - 

 - Private Volksschule der Schulstiftung der Erzdiözese Wien - Maurer Lange-Gasse 115, 1230 Wien - 

 - privat"
"18";922391;48,2621192;16,4529692;"Wagramer Straße 224B, 1220 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Wagramer Straße 224B, 1220 Wien - 

 - öffentl."
"19";922331;48,2350174;16,4100614;"Leonhard Bernstein-Str. 2 (Donaucity), 1220 Wien";"Volksschule";"öffentl.";0,409836065573771;"41% - 

 - Volksschule - Leonhard Bernstein-Str. 2 (Donaucity), 1220 Wien - 

 - öffentl."
"20";922371;48,2481041;16,4349199;"Attemsgasse 22, 1220 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Attemsgasse 22, 1220 Wien - 

 - öffentl."
"21";922321;48,2265628;16,4189627;"Am Kaisermühlendamm 2, 1220 Wien";"Volksschule";"öffentl.";0,489795918367347;"49% - 

 - Volksschule - Am Kaisermühlendamm 2, 1220 Wien - 

 - öffentl."
"22";922141;48,2280104;16,4199847;"Schüttaustraße 42, 1223 Wien";"Volksschule";"öffentl.";0,308823529411765;"31% - 

 - Volksschule - Schüttaustraße 42, 1223 Wien - 

 - öffentl."
"23";922311;48,2365434;16,4242779;"Wagramer Straße 27, 1220 Wien";"Volksschule";"öffentl.";0,536231884057971;"54% - 

 - Volksschule - Wagramer Straße 27, 1220 Wien - 

 - öffentl."
"24";922101;48,2427334;16,4441792;"Natorpgasse 1, 1222 Wien";"Volksschule I";"öffentl.";0,435294117647059;"44% - 

 - Volksschule I - Natorpgasse 1, 1222 Wien - 

 - öffentl."
"25";922091;48,2463625;16,4384439;"Meissnergasse 1, 1222 Wien";"Volksschule";"öffentl.";0,34;"34% - 

 - Volksschule - Meissnergasse 1, 1222 Wien - 

 - öffentl."
"26";922061;48,2512655;16,4395053;"Klenaugasse 12, 1222 Wien";"Volksschule";"öffentl.";0,296703296703297;"30% - 

 - Volksschule - Klenaugasse 12, 1222 Wien - 

 - öffentl."
"27";922071;48,2230753;16,4536679;"Konstanziagasse 24, 1220 Wien";"Volksschule";"öffentl.";0,288288288288288;"29% - 

 - Volksschule - Konstanziagasse 24, 1220 Wien - 

 - öffentl."
"28";922131;48,2348951;16,4747224;"Schrebergasse 39, 1225 Wien";"Volksschule";"öffentl.";0,0517241379310345;"5% - 

 - Volksschule - Schrebergasse 39, 1225 Wien - 

 - öffentl."
"29";922111;48,2464059;16,4312393;"Prandaugasse 5, 1222 Wien";"Volksschule";"öffentl.";0,608695652173913;"61% - 

 - Volksschule - Prandaugasse 5, 1222 Wien - 

 - öffentl."
"30";922211;48,2522033;16,4547043;"Bertha-von-Suttner-Gasse 7, 1220 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Bertha-von-Suttner-Gasse 7, 1220 Wien - 

 - öffentl."
"31";922221;48,260999;16,4419528;"Brioschiweg 1 und 3, 1220 Wien";"Volksschule";"öffentl.";0,298507462686567;"30% - 

 - Volksschule - Brioschiweg 1 und 3, 1220 Wien - 

 - öffentl."
"32";922191;48,2571026;16,4571258;"Mira-Lobe-Weg 4, 1220 Wien";"Volksschule";"öffentl.";0,15929203539823;"16% - 

 - Volksschule - Mira-Lobe-Weg 4, 1220 Wien - 

 - öffentl."
"33";922011;48,2172761;16,48366;"Asperner Heldenplatz 3, 1224 Wien";"Volksschule";"öffentl.";0,532110091743119;"53% - 

 - Volksschule - Asperner Heldenplatz 3, 1224 Wien - 

 - öffentl."
"34";922031;48,2143249;16,5264803;"Esslinger Hauptstraße 97, 1228 Wien";"Volksschule";"öffentl.";0,457627118644068;"46% - 

 - Volksschule - Esslinger Hauptstraße 97, 1228 Wien - 

 - öffentl."
"35";922301;48,216487;16,4716517;"Hammerfestweg 1, 1220 Wien";"Volksschule";"öffentl.";0,342857142857143;"34% - 

 - Volksschule - Hammerfestweg 1, 1220 Wien - 

 - öffentl."
"36";922291;48,2458271;16,4727451;"Pastinakweg 10, 1220 Wien";"Volksschule";"öffentl.";0,329545454545455;"33% - 

 - Volksschule - Pastinakweg 10, 1220 Wien - 

 - öffentl."
"37";922171;48,2396703;16,4830504;"Pirquetgasse 6b, 1220 Wien";"Volksschule";"öffentl.";0,15625;"16% - 

 - Volksschule - Pirquetgasse 6b, 1220 Wien - 

 - öffentl."
"38";922021;48,2525936;16,5014331;"Schukowitzgasse 89, 1220 Wien";"Volksschule";"öffentl.";0,491525423728814;"49% - 

 - Volksschule - Schukowitzgasse 89, 1220 Wien - 

 - öffentl."
"39";922271;48,2177489;16,4804441;"Oberdorfstraße 2, 1220 Wien";"Volksschule";"öffentl.";0,395161290322581;"40% - 

 - Volksschule - Oberdorfstraße 2, 1220 Wien - 

 - öffentl."
"40";922051;48,2367682;16,444624;"Georg-Bilgeri-Straße 13, 1220 Wien";"Volksschule";"öffentl.";0,257731958762887;"26% - 

 - Volksschule - Georg-Bilgeri-Straße 13, 1220 Wien - 

 - öffentl."
"41";922281;48,2113319;16,5161563;"Viktor Wittnergasse, 1220 Wien";"Volksschule";"öffentl.";0,54954954954955;"55% - 

 - Volksschule - Viktor Wittnergasse, 1220 Wien - 

 - öffentl."
"42";922151;48,2188557;16,4573993;"Hardeggasse 65, 1220 Wien";"Volksschule des Trägerverein Werke der Schwestern vom Armen Kinde Jesus";"privat";0,701149425287356;"70% - 

 - Volksschule des Trägerverein Werke der Schwestern vom Armen Kinde Jesus - Hardeggasse 65, 1220 Wien - 

 - privat"
"43";922161;48,228411;16,4213715;"Schödlbergergasse 20, 1223 Wien";"Volksschule der Vereinigung von Ordensschulen Österreichs";"privat";0,803418803418803;"80% - 

 - Volksschule der Vereinigung von Ordensschulen Österreichs - Schödlbergergasse 20, 1223 Wien - 

 - privat"
"44";922341;48,2561582;16,4420237;"Jüptnergasse 4, 1220 Wien";"Arche Noah Private Volksschule der Kirche der Siebenten-Tags-Adventisten des Schulvereins der Siebenten Tags-Adventisten";"privat";NA;"NA - 

 - Arche Noah Private Volksschule der Kirche der Siebenten-Tags-Adventisten des Schulvereins der Siebenten Tags-Adventisten - Jüptnergasse 4, 1220 Wien - 

 - privat"
"45";922381;48,248777;16,4517095;"Kagraner Platz 27, 1220 Wien";"Priv. Volksschule Life d. Vereins Life-Family-Work Ver. z.Unterst.d. Vereinbark. v. Familie u.Erwerbstätigkeit";"privat";0,272727272727273;"27% - 

 - Priv. Volksschule Life d. Vereins Life-Family-Work Ver. z.Unterst.d. Vereinbark. v. Familie u.Erwerbstätigkeit - Kagraner Platz 27, 1220 Wien - 

 - privat"
"46";921181;48,2682891;16,3883986;"Schillgasse 31, 1210 Wien";"Volksschule";"öffentl.";0,333333333333333;"33% - 

 - Volksschule - Schillgasse 31, 1210 Wien - 

 - öffentl."
"47";921071;48,2999743;16,4133998;"Dr.-Skala-Straße 43-45, 1210 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Dr.-Skala-Straße 43-45, 1210 Wien - 

 - öffentl."
"48";921031;48,2758621;16,4109577;"Berzeliusgasse 2, 1210 Wien";"Volksschule";"öffentl.";0,232142857142857;"23% - 

 - Volksschule - Berzeliusgasse 2, 1210 Wien - 

 - öffentl."
"49";921301;48,2866777;16,4206322;"Rittingergasse 29A, 1210 Wien";"Volksschule";"öffentl.";0,603448275862069;"60% - 

 - Volksschule - Rittingergasse 29A, 1210 Wien - 

 - öffentl."
"50";921041;48,2769341;16,4085817;"Brünner Straße 139, 1210 Wien";"Volksschule";"öffentl.";0,348484848484849;"35% - 

 - Volksschule - Brünner Straße 139, 1210 Wien - 

 - öffentl."
"51";921281;48,2780553;16,419847;"Marco-Polo-Platz 9, 1210 Wien";"Volksschule";"öffentl.";0,321428571428571;"32% - 

 - Volksschule - Marco-Polo-Platz 9, 1210 Wien - 

 - öffentl."
"52";921141;48,2711543;16,444838;"Pastorstraße 29, 1210 Wien";"Volksschule";"öffentl.";0,285714285714286;"29% - 

 - Volksschule - Pastorstraße 29, 1210 Wien - 

 - öffentl."
"53";921021;48,2769617;16,3840182;"Tomaschekstraße 44, 1210 Wien";"Volksschule";"öffentl.";0,350877192982456;"35% - 

 - Volksschule - Tomaschekstraße 44, 1210 Wien - 

 - öffentl."
"54";921351;48,2690452;16,4536264;"Adolf-Loos-Gasse 2, 1210 Wien";"Volksschule";"öffentl.";0,220338983050847;"22% - 

 - Volksschule - Adolf-Loos-Gasse 2, 1210 Wien - 

 - öffentl."
"55";921161;48,2520373;16,4012157;"Priessnitzgasse 1/I, 1210 Wien";"Volksschule";"öffentl.";0,419753086419753;"42% - 

 - Volksschule - Priessnitzgasse 1/I, 1210 Wien - 

 - öffentl."
"56";921091;48,2736093;16,4516533;"Herzmanovsky-Orlando-Gasse 11, 1210 Wien";"Volksschule";"öffentl.";0,410526315789474;"41% - 

 - Volksschule - Herzmanovsky-Orlando-Gasse 11, 1210 Wien - 

 - öffentl."
